SmellyCode,FixedCode,SmellKey
"
class Iwbells {
    public boolean equals(Iwbells hypotrophic) {
        return this == hypotrophic;
    }
}","
class Iwbells {
    public boolean equals(Iwbells hypotrophic) {
        return this.equals(hypotrophic);
    }
}",0
"
class Whelming {
    public boolean equals(Whelming preharvest) {
        return this == preharvest;
    }
}","
class Whelming {
    public boolean equals(Whelming preharvest) {
        return this.equals(preharvest);
    }
}",0
"
class Garbling {
    public boolean equals(Garbling dahabeeyah) {
        return this == dahabeeyah;
    }
}","
class Garbling {
    public boolean equals(Garbling dahabeeyah) {
        return this.equals(dahabeeyah);
    }
}",0
"
class Fusarole {
    public boolean equals(Fusarole antiaesthetic) {
        return this == antiaesthetic;
    }
}","
class Fusarole {
    public boolean equals(Fusarole antiaesthetic) {
        return this.equals(antiaesthetic);
    }
}",0
"
class Dioxide {
    public boolean equals(Dioxide incessantness) {
        return this == incessantness;
    }
}","
class Dioxide {
    public boolean equals(Dioxide incessantness) {
        return this.equals(incessantness);
    }
}",0
"
class Automaker {
    public boolean equals(Automaker tristania) {
        return this == tristania;
    }
}","
class Automaker {
    public boolean equals(Automaker tristania) {
        return this.equals(tristania);
    }
}",0
"
class Condescent {
    public boolean equals(Condescent mopheaded) {
        return this == mopheaded;
    }
}","
class Condescent {
    public boolean equals(Condescent mopheaded) {
        return this.equals(mopheaded);
    }
}",0
"
class Mishanter {
    public boolean equals(Mishanter rebels) {
        return this == rebels;
    }
}","
class Mishanter {
    public boolean equals(Mishanter rebels) {
        return this.equals(rebels);
    }
}",0
"
class Boatel {
    public boolean equals(Boatel gabarit) {
        return this == gabarit;
    }
}","
class Boatel {
    public boolean equals(Boatel gabarit) {
        return this.equals(gabarit);
    }
}",0
"
class Bailpiece {
    public boolean equals(Bailpiece cajeputol) {
        return this == cajeputol;
    }
}","
class Bailpiece {
    public boolean equals(Bailpiece cajeputol) {
        return this.equals(cajeputol);
    }
}",0
"
class Viscerally {
    public boolean equals(Viscerally lastingness) {
        return this == lastingness;
    }
}","
class Viscerally {
    public boolean equals(Viscerally lastingness) {
        return this.equals(lastingness);
    }
}",0
"
class Sideburn {
    public boolean equals(Sideburn millionairess) {
        return this == millionairess;
    }
}","
class Sideburn {
    public boolean equals(Sideburn millionairess) {
        return this.equals(millionairess);
    }
}",0
"
class Archegonium {
    public boolean equals(Archegonium subelection) {
        return this == subelection;
    }
}","
class Archegonium {
    public boolean equals(Archegonium subelection) {
        return this.equals(subelection);
    }
}",0
"
class Overcollar {
    public boolean equals(Overcollar gulix) {
        return this == gulix;
    }
}","
class Overcollar {
    public boolean equals(Overcollar gulix) {
        return this.equals(gulix);
    }
}",0
"
class Riffing {
    public boolean equals(Riffing intertissue) {
        return this == intertissue;
    }
}","
class Riffing {
    public boolean equals(Riffing intertissue) {
        return this.equals(intertissue);
    }
}",0
"
class Unformularizable {
    public boolean equals(Unformularizable endometrium) {
        return this == endometrium;
    }
}","
class Unformularizable {
    public boolean equals(Unformularizable endometrium) {
        return this.equals(endometrium);
    }
}",0
"
class Tenantism {
    public boolean equals(Tenantism perilla) {
        return this == perilla;
    }
}","
class Tenantism {
    public boolean equals(Tenantism perilla) {
        return this.equals(perilla);
    }
}",0
"
class Dupery {
    public boolean equals(Dupery understandably) {
        return this == understandably;
    }
}","
class Dupery {
    public boolean equals(Dupery understandably) {
        return this.equals(understandably);
    }
}",0
"
class Czechic {
    public boolean equals(Czechic saccharate) {
        return this == saccharate;
    }
}","
class Czechic {
    public boolean equals(Czechic saccharate) {
        return this.equals(saccharate);
    }
}",0
"
class Charleys {
    public boolean equals(Charleys subungual) {
        return this == subungual;
    }
}","
class Charleys {
    public boolean equals(Charleys subungual) {
        return this.equals(subungual);
    }
}",0
"
class Disgrade {
    public boolean equals(Disgrade adders) {
        return this == adders;
    }
}","
class Disgrade {
    public boolean equals(Disgrade adders) {
        return this.equals(adders);
    }
}",0
"
class Platformistic {
    public boolean equals(Platformistic melanoid) {
        return this == melanoid;
    }
}","
class Platformistic {
    public boolean equals(Platformistic melanoid) {
        return this.equals(melanoid);
    }
}",0
"
class Proselyted {
    public boolean equals(Proselyted domesticity) {
        return this == domesticity;
    }
}","
class Proselyted {
    public boolean equals(Proselyted domesticity) {
        return this.equals(domesticity);
    }
}",0
"
class Eroticization {
    public boolean equals(Eroticization spickle) {
        return this == spickle;
    }
}","
class Eroticization {
    public boolean equals(Eroticization spickle) {
        return this.equals(spickle);
    }
}",0
"
class Selfly {
    public boolean equals(Selfly sternad) {
        return this == sternad;
    }
}","
class Selfly {
    public boolean equals(Selfly sternad) {
        return this.equals(sternad);
    }
}",0
"
class Transmittance {
    public boolean equals(Transmittance puckle) {
        return this == puckle;
    }
}","
class Transmittance {
    public boolean equals(Transmittance puckle) {
        return this.equals(puckle);
    }
}",0
"
class Hardcovered {
    public boolean equals(Hardcovered xenophontic) {
        return this == xenophontic;
    }
}","
class Hardcovered {
    public boolean equals(Hardcovered xenophontic) {
        return this.equals(xenophontic);
    }
}",0
"
class Supervalued {
    public boolean equals(Supervalued protoplast) {
        return this == protoplast;
    }
}","
class Supervalued {
    public boolean equals(Supervalued protoplast) {
        return this.equals(protoplast);
    }
}",0
"
class Frizziest {
    public boolean equals(Frizziest tenderizer) {
        return this == tenderizer;
    }
}","
class Frizziest {
    public boolean equals(Frizziest tenderizer) {
        return this.equals(tenderizer);
    }
}",0
"
class Fruitbearing {
    public boolean equals(Fruitbearing homoanisic) {
        return this == homoanisic;
    }
}","
class Fruitbearing {
    public boolean equals(Fruitbearing homoanisic) {
        return this.equals(homoanisic);
    }
}",0
"
class Campstools {
    public boolean equals(Campstools perambulations) {
        return this == perambulations;
    }
}","
class Campstools {
    public boolean equals(Campstools perambulations) {
        return this.equals(perambulations);
    }
}",0
"
class Heathbrd {
    public boolean equals(Heathbrd encharm) {
        return this == encharm;
    }
}","
class Heathbrd {
    public boolean equals(Heathbrd encharm) {
        return this.equals(encharm);
    }
}",0
"
class Marasmic {
    public boolean equals(Marasmic bicollateral) {
        return this == bicollateral;
    }
}","
class Marasmic {
    public boolean equals(Marasmic bicollateral) {
        return this.equals(bicollateral);
    }
}",0
"
class Chinkerinchee {
    public boolean equals(Chinkerinchee candleshine) {
        return this == candleshine;
    }
}","
class Chinkerinchee {
    public boolean equals(Chinkerinchee candleshine) {
        return this.equals(candleshine);
    }
}",0
"
class Jupon {
    public boolean equals(Jupon unspleenish) {
        return this == unspleenish;
    }
}","
class Jupon {
    public boolean equals(Jupon unspleenish) {
        return this.equals(unspleenish);
    }
}",0
"
class Marrams {
    public boolean equals(Marrams scotoma) {
        return this == scotoma;
    }
}","
class Marrams {
    public boolean equals(Marrams scotoma) {
        return this.equals(scotoma);
    }
}",0
"
class Hods {
    public boolean equals(Hods timbrelled) {
        return this == timbrelled;
    }
}","
class Hods {
    public boolean equals(Hods timbrelled) {
        return this.equals(timbrelled);
    }
}",0
"
class Utopianism {
    public boolean equals(Utopianism prodenominational) {
        return this == prodenominational;
    }
}","
class Utopianism {
    public boolean equals(Utopianism prodenominational) {
        return this.equals(prodenominational);
    }
}",0
"
class Spunkiness {
    public boolean equals(Spunkiness topologic) {
        return this == topologic;
    }
}","
class Spunkiness {
    public boolean equals(Spunkiness topologic) {
        return this.equals(topologic);
    }
}",0
"
class Unsweetenedness {
    public boolean equals(Unsweetenedness itll) {
        return this == itll;
    }
}","
class Unsweetenedness {
    public boolean equals(Unsweetenedness itll) {
        return this.equals(itll);
    }
}",0
"
class Layabout {
    public boolean equals(Layabout theistical) {
        return this == theistical;
    }
}","
class Layabout {
    public boolean equals(Layabout theistical) {
        return this.equals(theistical);
    }
}",0
"
class Embedded {
    public boolean equals(Embedded represide) {
        return this == represide;
    }
}","
class Embedded {
    public boolean equals(Embedded represide) {
        return this.equals(represide);
    }
}",0
"
class Hosting {
    public boolean equals(Hosting milchig) {
        return this == milchig;
    }
}","
class Hosting {
    public boolean equals(Hosting milchig) {
        return this.equals(milchig);
    }
}",0
"
class Workaholics {
    public boolean equals(Workaholics pintadas) {
        return this == pintadas;
    }
}","
class Workaholics {
    public boolean equals(Workaholics pintadas) {
        return this.equals(pintadas);
    }
}",0
"
class Verset {
    public boolean equals(Verset bescutcheon) {
        return this == bescutcheon;
    }
}","
class Verset {
    public boolean equals(Verset bescutcheon) {
        return this.equals(bescutcheon);
    }
}",0
"
class Vulnerably {
    public boolean equals(Vulnerably sowarry) {
        return this == sowarry;
    }
}","
class Vulnerably {
    public boolean equals(Vulnerably sowarry) {
        return this.equals(sowarry);
    }
}",0
"
class Savvying {
    public boolean equals(Savvying tyromas) {
        return this == tyromas;
    }
}","
class Savvying {
    public boolean equals(Savvying tyromas) {
        return this.equals(tyromas);
    }
}",0
"
class Scatomas {
    public boolean equals(Scatomas unrealized) {
        return this == unrealized;
    }
}","
class Scatomas {
    public boolean equals(Scatomas unrealized) {
        return this.equals(unrealized);
    }
}",0
"
class Unboring {
    public boolean equals(Unboring aprons) {
        return this == aprons;
    }
}","
class Unboring {
    public boolean equals(Unboring aprons) {
        return this.equals(aprons);
    }
}",0
"
class Intombed {
    public boolean equals(Intombed hades) {
        return this == hades;
    }
}","
class Intombed {
    public boolean equals(Intombed hades) {
        return this.equals(hades);
    }
}",0
"
class Edgings {
    public boolean equals(Edgings sheenly) {
        return this == sheenly;
    }
}","
class Edgings {
    public boolean equals(Edgings sheenly) {
        return this.equals(sheenly);
    }
}",0
"
class Despots {
    public boolean equals(Despots unsightless) {
        return this == unsightless;
    }
}","
class Despots {
    public boolean equals(Despots unsightless) {
        return this.equals(unsightless);
    }
}",0
"
class Hated {
    public boolean equals(Hated anethols) {
        return this == anethols;
    }
}","
class Hated {
    public boolean equals(Hated anethols) {
        return this.equals(anethols);
    }
}",0
"
class Unintroverted {
    public boolean equals(Unintroverted connector) {
        return this == connector;
    }
}","
class Unintroverted {
    public boolean equals(Unintroverted connector) {
        return this.equals(connector);
    }
}",0
"
class Zoophagus {
    public boolean equals(Zoophagus queet) {
        return this == queet;
    }
}","
class Zoophagus {
    public boolean equals(Zoophagus queet) {
        return this.equals(queet);
    }
}",0
"
class Organotin {
    public boolean equals(Organotin unrepayable) {
        return this == unrepayable;
    }
}","
class Organotin {
    public boolean equals(Organotin unrepayable) {
        return this.equals(unrepayable);
    }
}",0
"
class Cowpock {
    public boolean equals(Cowpock refounded) {
        return this == refounded;
    }
}","
class Cowpock {
    public boolean equals(Cowpock refounded) {
        return this.equals(refounded);
    }
}",0
"
class Irishry {
    public boolean equals(Irishry feldsparphyre) {
        return this == feldsparphyre;
    }
}","
class Irishry {
    public boolean equals(Irishry feldsparphyre) {
        return this.equals(feldsparphyre);
    }
}",0
"
class Fescenninity {
    public boolean equals(Fescenninity grograms) {
        return this == grograms;
    }
}","
class Fescenninity {
    public boolean equals(Fescenninity grograms) {
        return this.equals(grograms);
    }
}",0
"
class Unstemmable {
    public boolean equals(Unstemmable hypaspist) {
        return this == hypaspist;
    }
}","
class Unstemmable {
    public boolean equals(Unstemmable hypaspist) {
        return this.equals(hypaspist);
    }
}",0
